"pcl"; "eng"
"*bou-"; "cow"
"*boud-ajā-"; "churn"
"*boudi-"; "victory"
"*boudīko-"; "victorious"
"*bou-dino-"; "herd"
"*bou-gorto-"; "cow-pen"
"*boukanjā-"; "sea"
"*boukato-"; "noise"
"*bou-kʷoljo-"; "herdsman"
"*bou-rigo-"; "cow-shackle"
"*bousano-"; "fast"
"*bousdo- /*bonto-"; "fire"
"*bousso-"; "cattle"
"*bou-tegos-"; "cow-stable"
"*bou-φku-"; "cow"
"*bradī"; "hardly"
"*brādo-"; "speech"
"*brāgant -"; "neck, windpipe"
"*brag-e/o-"; "break wind"
"*bragi-"; "chain"
"*brag-je/o-"; "fart"
"*bragno-  / *mrakno-"; "stinking"
"*bragno-"; "stinking"
"*mrakno-"; "stinking"
"*bragno- "; "stinking"
"*mrakno-"; "stinking"
"*bragsman-"; "fart"
"*brājat-"; "eat"
"*brākā-"; "trousers"
"*brak-āto-"; "bragget"
"*brakʷ-"; "glitter"
"*branā-"; "raven"
"*branaro-"; "fallow land"
"*bran-ī-jā-"; "prow of ship"
"*bran-jo-"; "prow"
"*brankā-"; "lie"
"*brasso-"; "large"
"*brātīr"; "brother"
"*bratto-"; "cloak"
"*bratto-kū"; "mastiff"
"*brātu-"; "judgment"
"*brāwan-"; "grinding stone"
"*brazd-e/o-"; "sting"
"*Bred-anjā-"; "river name"
"*breg-"; "break"
"*breito-"; "variegated"
"*brei-to-"; "heddles of loom"
"*breitro-"; "word"
"*brem-e/o-"; "roar"
"*brendo-"; "hill"
"*brenn(j)e/o-"; "boil"
"*brenne/o-"; "boil"
"*brennje/o-"; "boil"
"*brestelo-"; "fight"
"*bretto-"; "cloth"
"*breuko-"; ""
"*breust-āko-"; "with a broad chest"
"*brewant-"; "spring"
"*brexsmi-"; "cry"
"*bri/ekkā-"; "pox"
"*brig-"; "mountain"
"*brīgā-, *brīgo-"; "power"
"*brīgā-"; "power"
"*brīgo-"; "power"
"*brīgā-"; "power"
"*brīgo-"; "power"
"*brigant-"; "high"
"*Brigantī-"; "goddess"
"*brigantīnos"; "king, prince"
"*brīko-"; "summit"
"*brisk-"; "congeal"
"*brist-e/o-"; "break"
"*brito-/ -ā-"; "judgment"
"*britso-"; "haste"
"*Brittā-"; "country name"
"*Brittānī (nom. pl.)"; "ethnic name"
"*Brittānī "; "ethnic name"
"*Brittānī nom. pl."; "ethnic name"
"*britu-"; "birth"
"*brīwā-"; "bridge"
"*briwo-"; "flame"
"*brīwo-"; "fragment"
"*brixtā-"; "spell"
"*bro(to-)"; "point"
"*bro"; "point"
"*broto-"; "point"
"*Brokkagno-"; "personal name"
"*brokko-"; "badger"
"*brokkV- / *brukko-/-ā-"; "dirt; anger"
"*brokkV-"; "dirt; anger"
"*brukko-/-ā-"; "dirt; anger"
"*brokkV-"; "dirt; anger"
"*brukko-/-ā-"; "dirt; anger"
"*bromb-āko-"; "foal"
"*brondjo-, brondā- (or -u- )"; "breast"
"*brondjo-"; "breast"
"brondā- (or -u- )"; "breast"
"*brondjo-"; "breast"
"brondā- "; "breast"
"brondā- or -u- "; "breast"
"*brongo-"; "throat"
"*bronjā-"; "prow of boat"
"*brosk-o-"; "strong"
"*brosko-"; "noise"
"*brotto-, broto-"; "prickle"
"*brotto-"; "prickle"
"broto-"; "prickle"
"*brotto-"; "prickle"
"broto-"; "prickle"
"*brotV-rego-"; "rich garment"
"*broxd-īti- /-ro-"; "dream"
"*brū-"; "edge, bank"
"*bru-"; "stomach"
"*brū(s)-je/o-"; "fight"
"*brū-je/o-"; "fight"
"*brūs-je/o-"; "fight"
"*brugn-injo-"; "rush"
"*brugno-"; "worry"
"*brun-"; "belly"
"*brunk-e/o-"; "bring"
"*brusk-"; "piece"
"*brutu-"; "ardour"
"*brutV-"; "point"
"*brū-wāje/o-"; "break"
"*bruwi-"; "brow"
"*bruwo-"; "strong"
"*budā-"; "will"
"*budaro-"; "deaf"
"*buddākko-"; "loathsome person"
"*budīnā-"; "band, army"
"*budno-"; "root"
"*bug-lā-(j)e/o-"; "strike"
"*bug-lā-e/o-"; "strike"
"*bug-lā-je/o-"; "strike"
"*bukkā-"; "cheek"
"*bukkijā-"; "life"
"*bukko-"; "buck"
"*bukko-, buko-"; "soft"
"*bukko-"; "soft"
"buko-"; "soft"
"*bukko-"; "soft"
"buko-"; "soft"
"*bulakā-"; "swelling"
"*bulato-"; "smell"
"*bulko-/-ā-"; "cleft"
"*bunato-"; "origin"
"*bundo-"; "floor"
"*bung-e/o-"; "break"
"*bunno-"; "bittern"
"*bur-we/o-"; "throw"
"*bussu-"; "mouth, lip"
"*būsti-"; "tree trunk"
"*butā-"; "house"
"*buti-"; "being"
"*butto-  / *bosdo-"; "penis"
"*butto-"; "penis"
"*bosdo-"; "penis"
"*butto- "; "penis"
"*bosdo-"; "penis"
"*buwano-"; "lasting"
"*buzdo-"; "nave"
"*bwā-"; "be"
"*bǐwo-"; "life"
"*-d(e)-em-"; "pronoun"
"*-d-em-"; "pronoun"
"*-de-em-"; "pronoun"
"*dabākā-"; "pot"
"*dago-, *dego-"; "good"
"*dago-"; "good"
"*dego-"; "good"
"*dago-"; "good"
"*dego-"; "good"
"*dakrǔ-"; "tear"
"*dāl-(je/o-)"; "part"
"*dāl-"; "part"
"*dāl-je/o-"; "part"
"*dalg-e/o-"; "hold"
"*dāli-"; "part"
"*dal-injo-"; "leaf"
"*dāmā-, *dāmo-"; "host"
"*dāmā-"; "host"
"*dāmo-"; "host"
"*dāmā-"; "host"
"*dāmo-"; "host"
"*damato-"; "sheep"
"*dam-je/o-"; "allow"
"*dam-n-a-"; "bind"
"*damnjo- (*do-)"; "material"
"*damnjo- "; "material"
"*damnjo- *do-"; "material"
"*damo-"; "cow"
"*dang-e/o-"; "press"
"*dangino-"; "solid"
"*dan-ī-"; "deer"
"*dano-"; "striker"
"*dāno-"; "gift"
"*-danos"; "distributing"
"*dant-"; "tooth"
"*dant-(V)galo-"; "grinding the teeth"
"*dant-galo-"; "grinding the teeth"
"*dant-Vgalo-"; "grinding the teeth"
"*dant-āko-"; "betony (Stachys betonica)"
"*danto-"; "disposition, temperament"
"*Dānu, *Danou̯i̯os"; "river name"
"*Dānu"; "river name"
"*Danou̯i̯os"; "river name"
"*Dānu"; "river name"
"*Danou̯i̯os"; "river name"
"*dari(k)-"; "oak"
"*dari-"; "oak"
"*darik-"; "oak"
"*dar-je/o-"; "jump"
"*Dārjo-"; "personal name"
"*darn-āje/o-"; "break in pieces"
"*darno-"; "piece"
"*daru-"; "oak"
"*dasti-"; "heap"
"*datlo-tegos-"; "assembly(-hall)"
"*datlu-"; "assembly"
"*daw-je/o-"; "burn"
"*de"; "pronoun"
"*de-da-"; "die away"
"*de-d-e (pf.)"; "put"
"*de-d-e "; "put"
"*de-d-e pf."; "put"
"*dedmā-"; "statute"
"*deget-"; "fire"
"*dego-wiro-"; "brave, splendid"
"*degu-"; "drink"
"*deik-"; "show"
"*deino-"; "fast"
"*Deiwā-"; "river name"
"*deiwo-"; "god"
"*dejastā-"; "ear of grain"
"*dekam"; "ten"
"*dekameto-"; "tenth"
"*deko-"; "good"
"*delgos-"; "thorn"
"*deli-"; "rod"
"*dellorato-"; "shine"
"*delto-"; "wet"
"*delwā-"; "form"
"*delw-ato-"; "form"
"*demātā-"; "ceremony"
"*demi-"; "dim"
"*demo-"; "house"
"*dengwo-"; "mist, smoke"
"*der-"; "sound"
"*dren-s-"; "sound"
"daro-"; "sound"
"*der-der-je/o-"; "clamour"
"*derg-ā-"; "redness"
"*dergo-"; "red"
"*derk-"; "hold"
"*derk-e/o-"; "see"
"*derkos-"; "berry"
"*derwā-"; "oak"
"*derwitā-"; "tetter"
"*derwo-wid-"; "druid"
"*desos-"; "god"
"*dewjo-"; "strong"
"*dexso-"; "south"
"*dexso-, *dexsiwo-"; "right"
"*dexso-"; "right"
"*dexsiwo-"; "right"
"*dexso-"; "right"
"*dexsiwo-"; "right"
"*dī"; "from"
"*dī-"; "particle (de-, from)"
"*dī-"; "clothes"
"*dī-"; "has"
"*dia-"; "prefix"
"*dī-ad-ber-e/o-"; "deprive"
"*dī-āk-ī-"; "laziness"
"*dī-āku-"; "lazy"
"*dī-anami- (/-o-)"; "unblemished"
"*dī-anami- "; "unblemished"
"*dī-anami- /-o-"; "unblemished"
"*dī-arken-āje/o-"; "take off one's shoes"
"*dī-arkeno-"; "without shoes"
"*dī-ask-"; "healthy"
"*dī-ātV-"; "drink"
"*dī-bag-sage/o-"; "destroy"
"*dī-ber-e/o-"; "drop, flow"
"*dī-berg-o-"; "deceit"
"*dī-brig-"; "serious"
"*diddi-"; "teat"
"*dī-don-a-"; "comfort"
"*dī-do-n-eie/o-"; "wean"
"*dī-exs-bād-e/o-"; "extinguish"
"*dī-exs-ber-e/o-"; "defend"
"*dī-exs-glend-e/o-"; "choose"
"*dī-galā-"; "revenge"
"*dī-gand-īko-"; "abundant"
"*digino-"; "solid"
"*dī-glenn-e/o-"; "gather, collect"
"*dī-gustu-"; "choice"
"*dijarā-"; "earth"
"*dīko-"; "angry"
"*dī-kʷeislo-"; "senseless"
"*dī-kʷenn-e/o-"; "behead"
"*dī-kʷenno-"; "end"
"*dili-"; "pleasant"
"*dī-litso-"; "genuine"
"*dilo-"; "teat"
"*dī-lubno-"; "rough"
"*din-"; "day"
"*dī-nammo-"; "blameless"
"*dindu-"; "hill, height"
"*dindu-"; "hill"
"*dinnu-"; "hill"
"*dī-n-e/o-"; "suck"
"*dinno-"; "hill"
"*dī-re-"; "fine"
"*dī-reig-n-"; "wind"
"*dīro-"; "due"
"*dī-ro-mik-e/o-"; "despise"
"*dī-samalo-"; "unique"
"*dī-sedi-"; "idle"
"*dīs-kiro-"; "common"
"*dīs-klai-r-je/o-"; "shine"
"*dī-song-lo-"; "explain"
"*dī-soudo-"; "force"
"*dīssomutto-"; "sudden"
"*dī-suφn-āje/o-"; "awake"
"*dīto-"; "death"
"*dī-trebo-"; "desert"
"*dī-u(φ)o-kel-e/o-"; "secure"
"*dī-uo-kel-e/o-"; "secure"
"*dī-uφo-kel-e/o-"; "secure"
"*dī-wed-o-"; "end"
"*diwjo-"; "day"
"*diwo-"; "day"
"*dī-φro-"; "prefix"
"*dī-φro-ber-e/o-"; "renounce"
"*dlig-e/o-"; "deserve"
"*dligeto-"; "law"
"*dlog-(e)je/o-"; "split"
"*dlog-je/o-"; "split"
"*dlog-eje/o-"; "split"
"*dlūto-"; "thread"
"*dog-jo-"; "bur"
"*doklo-"; "hair"
"*dolā-"; "valley"
"*domo-"; "tame"
"*donjo-"; "person"
"*dorso-"; "rough"
"*dou-dek-am"; "twelve"
"*dous-"; "arm"
"*dousjo-"; "slow"
"*dowjo-"; "slow"
"*dowo-glīno-"; "knees"
"*dra(g)smo- (-ā-)"; "bundle"
"*drasmo- "; "bundle"
"*dragsmo- "; "bundle"
"*drasmo- -ā-"; "bundle"
"*dragsmo- -ā-"; "bundle"
"*drabo-"; "husk"
"*dragino-/-ā-"; "blackthorn"
"*drang-"; "climb"
"*draskā-"; "a kind of malt"
"*draugo-"; "spirit"
"*drougo-"; "spirit"
"*drenxtā-"; "song"
"*dressǐ-"; "blackberry"
"*drettillo-"; "weakling"
"*dreuto- (/drouto-)"; "brave"
"*dreuto- "; "brave"
"*dreuto- /drouto-"; "brave"
"*dreuto- / *drouto-, *drūto-"; "dear"
"*dreuto-"; "dear"
"*drouto-, *drūto-"; "dear"
"*dreuto-"; "dear"
"*drouto-, *drūto-"; "dear"
"*dreuto- / *drouto-"; "dear"
"*drūto-"; "dear"
"*dreuto- / *drouto-"; "dear"
"*drūto-"; "dear"
"*drew-"; "rot"
"*drigu-"; "hair"
"*driko-, *drikā-"; "face"
"*driko-"; "face"
"*drikā-"; "face"
"*driko-"; "face"
"*drikā-"; "face"
"*drinno-/drenno-"; "quarrel"
"*drito-"; "frugal"
"*drits-i-"; "brambles"
"*drixsmā-"; "view"
"*drogo-"; "wheel"
"*dru(t)sman-"; "back"
"*drusman-"; "back"
"*drutsman-"; "back"
"*dru(w)-"; "run"
"*dru-"; "run"
"*druw-"; "run"
"*druko-"; "bad"
"*druko-garjo-"; "bad reputation"
"*drullo- (< -sl-)"; "part"
"*drullo- "; "part"
"*drullo- < -sl-"; "part"
"*drungo-"; "troop"
"*drūto-"; "fool"
"*druwid-"; "druid"
"*druxtu-"; "drop"
"*dubjā-"; "blackness"
"*dubno-, *dubni-"; "deep"
"*dubno-"; "deep"
"*dubni-"; "deep"
"*dubno-"; "deep"
"*dubni-"; "deep"
"*dubno-tero-"; "depth"
"*dubo-glasto-"; "dark blue"
"*dubro-"; "water"
"*dubro-jarā-"; "water-hen"
"*dubro-kwon-"; "otter"
"*dubu-"; "dark, black"
"*dubu-litso-"; "horse-parsley"
"*duk-e/o-"; "bring"
"*dukli-"; "make"
"*duknā-"; "poem"
"*du-kʷritu-"; "ugly"
"*dulā-, duljo-"; "leaf"
"*dulā-"; "leaf"
"duljo-"; "leaf"
"*dulā-"; "leaf"
"duljo-"; "leaf"
"*dūli-"; "wish"
"*dulisko-"; "edible seaweed"
"*dumāko-"; "mist"
"*dumjo-"; "hill"
"*dunno-"; "brown"
"*dūno-"; "fort"
"*dūnos-"; "fort"
"*dūnastu-"; "fort"
"*durā-"; "door"
"*durd-e/o-"; "roar"
"*durdo-"; "sound"
"*durn-āje/o-"; "beat"
"*durnāko-"; "having big fists/hands"
"*durno-"; "fist"
"*dūro-"; "hard"
"*dus-"; "prefix (bad-)"
"*dus-garo-"; "unhappy"
"*dusjo-"; "spirit"
"*dwā(w)"; "two"
"*dwā"; "two"
"*dwāw"; "two"
"*dwallo-"; "blind"
"*dwāst-aje/o-"; "make insane"
"*dwei"; "two"
"*dwei-φlo-"; "double"
"*dwei-φlo-"; "two times"
"*dweno-"; "strong"
"*dwijat-"; "smoke"
"*dwoilo-"; "beetle"
"*dwoilo-"; "fear"
"*dworestu-"; "door, gate"
"*eburn-īkā-"; "yearling goat in milk"
"*eburo-"; "yew"
"*ed-e/o-"; "eat"
"*egi-"; "maggot"
"*egl-jā-"; "building"
"*ei"; "interjection"
"*ei-"; "be"
"*ei-, *e-"; "pron. 3 sg. m./n."
"*ei-"; "pron. 3 sg. m./n."
"*e-"; "pron. 3 sg. m./n."
"*ei-"; "pron. 3 sg. m./n."
"*e-"; "pron. 3 sg. m./n."
"*eig-"; "cry"
"*eixtā-je/o-"; "groan, cry"
"*ekorV- , *ekari-"; "key"
"*ekorV-"; "key"
"*ekari-"; "key"
"*ekorV- "; "key"
"*ekari-"; "key"
"*ekwo-"; "horse"
"*ekʷo-reid-i-"; "riding a horse > fast"
"*elajo-"; "swan"
"*elawar"; "river name"
"*elko-"; "bad"
"*ell(ā)-e/o-"; "go"
"*ell-e/o-"; "go"
"*ellā-e/o-"; "go"
"*el-lant-ī- , *el-an-ī"; "deer"
"*el-lant-ī-"; "deer"
"*el-an-ī"; "deer"
"*el-lant-ī- "; "deer"
"*el-an-ī"; "deer"
"*ell-je/o-"; "deserve"
"*elnā-"; "herd"
"*elV-"; "loss"
"*elVt-n-"; "brass"
"*elwo-"; "gain, profit"
"*em-e/o-"; "hold"
"*em-em"; "he, him, it"
"*emo-"; "that"
"*en"; "in"
"*en-brexto-"; "bite"
"*endo"; "in"
"*enekʷo-"; "face"
"*en-gna-to-"; "judge"
"*eni"; "in"
"*eni-bero-"; "mouth of a river"
"*eni-genā-"; "daughter"
"*eni-kʷenni-"; "brain"
"*eni-sekʷjā-"; "speech"
"*enissī-"; "island"
"*en-ītero-"; "entrails"
"*ēnk-"; "reach"
"*en-lo-n-g-e/o-"; "join"
"*ennākā-"; "crow"
"*en-sedo-"; "chariot"
"*en-sto-"; "under"
"*enter"; "between"
"*entereto-"; "entrails"
"*erb-je/o-"; "let"
"*erbo-"; "goat"
"*eretsV-"; "wonderful"
"*erg-e/o-, rig-ā-"; "go"
"*erg-e/o-"; "go"
"rig-ā-"; "go"
"*erg-e/o-"; "go"
"rig-ā-"; "go"
"*erko-"; "heaven"
"*errā-"; "tail"
"*erret-"; "chariot-warrior"
"*eruro-"; "eagle"
"*erwo-"; "grain"
"*es-"; "be"
"*esāk-"; "salmon"
"*esātsā-"; "nightingale"
"*esjo, esjās (Gen.)"; "pronoun"
"*esjo"; "pronoun"
"esjās (Gen.)"; "pronoun"
"*esjo"; "pronoun"
"esjās "; "pronoun"
"esjās Gen."; "pronoun"
"*eskarī-"; "leg"
"*esom"; "their"
"*esti emos"; "that is"
"*esweid-"; "time of day when (also place where)"
"*eti"; "beyond, also"
"*ett(n)jo-"; "kernel"
"*ettjo-"; "kernel"
"*ettnjo-"; "kernel"
"*ex(s)-tamo-"; "extreme"
"*ex-tamo-"; "extreme"
"*exs-tamo-"; "extreme"
"*exs-"; "out of"
"*exs-"; "preposition (out)"
"*exs-āko-"; "insipid"
"*exs-ben-tī- ; *bonī-"; "hitting implement"
"*exs-ben-tī-"; "hitting implement"
"*bonī-"; "hitting implement"
"*exs-ben-tī- "; "hitting implement"
"*bonī-"; "hitting implement"
"*exs-bu-"; "fail"
"*exs-dī-sed-e/o-"; "sit"
"*exs-karant-"; "enemy"
"*exs-karto-"; "tow"
"*exs-obno-"; "fearless"
"*exs-reg-e/o-"; "climb up"
"*exstero-"; "besides"
"*exs-φed-ijo-"; "lark"
"*eφero-"; "later"
"*eφi"; "preposition"
"*gabalī-"; "tongs"
"*gabalu-"; "branch"
"*gab-e/o-"; "give, take"
"*gabro-"; "goat"
"*gad-"; "go"
"*gaiso-"; "spear"
"*gait-"; "hair"
"*gajamo-"; "winter"
"*galā-"; "power"
"*galanatsā-"; "murder"
"*galaro-"; "sorrow"
"*galbā-"; "pot-belly"
"*gal-e/o- , *gal-we/o-"; "call"
"*gal-e/o-"; "call"
"*gal-we/o-"; "call"
"*gal-e/o- "; "call"
"*gal-we/o-"; "call"
"*gallo-"; "stone"
"*gallo-"; "foreigner"
"*gal-ne/o-"; "be able"
"*gal-s-ā-"; "swan"
"*gando-"; "narrow"
"*gan-je/o-"; "bear (child)"
"*gann(j)o-"; "scale of fish"
"*ganno-"; "scale of fish"
"*gannjo-"; "scale of fish"
"*gan-n-d-e/o-"; "take"
"*gansi-"; "swan"
"*gar(s)man-"; "call"
"*garman-"; "call"
"*garsman-"; "call"
"*garanu- (-o-)"; "crane"
"*garanu- "; "crane"
"*garanu- -o-"; "crane"
"*gar-e/o-"; "speak"
"*gari-"; "short"
"*gāri-"; "call"
"*gar-jo-"; "word, speech"
"*garri-"; "leg"
"*gartā-"; "head"
"*garwo-"; "rough"
"*garwo-tero-"; "roughness"
"*gasdo-"; "rod"
"*gāsrjā-"; "laugh"
"*gastā-"; "shoot (plant)"
"*gat-e/o-"; "let, leave"
"*gatsā-"; "whore"
"*gatV-"; "hare"
"*gauljo-"; "pot"
"*gaurjo-"; "noble"
"*gawo-"; "lie"
"*gdijes"; "yesterday"
"*geg(u)rannā-"; "barnacle goose"
"*gegrannā-"; "barnacle goose"
"*gegurannā-"; "barnacle goose"
"*gegni-"; "laugh"
"*geidā- / *gigdā-"; "goose"
"*geidā-"; "goose"
"*gigdā-"; "goose"
"*geidā-"; "goose"
"*gigdā-"; "goose"
"*geidelo-"; "Irishman"
"*geistlo-"; "hostage"
"*geitsl-āje/o-"; "pledge"
"*gel-antī"; "leech"
"*geld-e/o-"; "promise"
"*geldo-"; "pledge"
"*gel-e/o-"; "eat up"
"*gello-"; "yellow, brown"
"*gelmo-"; "knife, dagger"
"*gelo-"; "white"
"*gelorā-"; "bier"
"*gel-tā-"; "grass"
"*gemelo-"; "chain"
"*genet(t)ā-"; "daughter"
"*genetā-"; "daughter"
"*genettā-"; "daughter"
"*geni-"; "wedge"
"*geno-, genjo-"; "birth"
"*geno-"; "birth"
"genjo-"; "birth"
"*geno-"; "birth"
"genjo-"; "birth"
"*gen-owes (pl.)"; "mouth"
"*gen-owes "; "mouth"
"*gen-owes pl."; "mouth"
"*genti-"; "child"
"*genu-, genawā-"; "mouth"
"*genu-"; "mouth"
"genawā-"; "mouth"
"*genu-"; "mouth"
"genawā-"; "mouth"
"*genV-"; "laugh"
"*gerbāko-"; "wrinkled"
"*Gerontjo-"; "personal mane"
"*gerrjo-"; "driving (cattle)"
"*gerro-"; "short"
"*gerto-"; "milk"
"*gestu-"; "carrying"
"*getto- (*gesdo- )"; "buttocks (/rump)"
"*getto- "; "buttocks (/rump)"
"*getto- *gesdo- "; "buttocks (/rump)"
"*gi-gen-ā-"; "will be born"
"*gigro-"; "sharp, sour"
"*gījokkV-"; "snipe"
"*glād-"; "speak"
"*glagmā-"; "shout"
"*glaistā-"; "agony"
"*glakko-"; "hand"
"*glando-"; "river-bank"
"*glanjā-"; "stillness"
"*glanjo-"; "glass, jewel"
"*glan-n-d-e/o-"; "make clear"
"*glano-"; "clean"
"*glasīnā-"; "blue thing"
"*glast-āje/o-"; "become pale"
"*glast-īno-"; "green"
"*glasto-"; "green"
"*glatsino-"; "common borage"
"*glāw-ato-"; "dried cow-dung"
"*glāwo-"; "ball"
"*glaxtā-"; "milk"
"*gleino-"; "clear"
"*gleiso-, *gleisto-"; "shining"
"*gleiso-"; "shining"
"*gleisto-"; "shining"
"*gleiso-"; "shining"
"*gleisto-"; "shining"
"*gleiwo-"; "gleaming, clear"
"*glejo-"; "green lawn"
"*glennos-"; "valley"
"*glikki-"; "clever"
"*glina-"; "remain hanging"
"*glinā-"; "adhere"
"*gli-wā-"; "sharp"
"*gliwo-"; "battle"
"*gloido-"; "glue"
"*glomaro-"; "bridle"
"*glouro-"; "clear"
"*glouwo-"; "coal"
"*glugno-"; "knee"
"*Glūno-māro-"; "personal name"
"*glustu-"; "light"
"*gnā-"; "know"
"*gnāto-"; "known"
"*-gnāto-, *-gnātā-"; "son, daughter"
"*-gnāto-"; "son, daughter"
"*-gnātā-"; "son, daughter"
"*-gnāto-"; "son, daughter"
"*-gnātā-"; "son, daughter"
"*gnawjo-"; "excellent"
"*gnā-wo-"; "clear"
"*gnī-mo-"; "labour, pain"
"*-gno-"; "descendant"
"*gnōto-"; "relative"
"*gnubo-"; "knot in wood"
"*gnūtsi-"; "jaw"
"*gobalī-"; "smithy"
"*gobǎn-"; "smith"
"*goglo-"; "coal"
"*goisd-jo-"; "wound(ed)"
"*goppo-"; "mouth"
"*gor(s)mo-"; "dark"
"*gormo-"; "dark"
"*gorsmo-"; "dark"
"*gorgo- (, *gergo-)"; "rough"
"*gorgo- ("; "rough"
"*gergo-)"; "rough"
"*gorgo- "; "rough"
"*gergo-"; "rough"
"*gorsti-"; "bitter"
"*gorto-"; "garden"
"*goru-"; "pus"
"*got-"; "sting"
"*got-je/o-"; "sexual intercourse"
"*gotto-"; "stammer"
"*gourjo-"; "(*curly) hair"
"*-grago-"; "neck"
"*gragǐ-"; "horse-herd"
"*grandā-"; "beard"
"*grān-injo-"; "single grain"
"*gran-n-d-e/o-"; "step"
"*grāno-"; "grain"
"*grat-jo-"; "ardour"
"*grawV-"; "crow"
"*gred(s)man-"; "strength"
"*gredman-"; "strength"
"*gredsman-"; "strength"
"*greisano-"; "grit"
"*grendjo-"; "bundle"
"*grens-"; "impel"
"*gresman-"; "bite"
"*gri/ennā-"; "big vessel"
"*gri-tu-"; "cry"
"*gro-"; "chirping"
"*gron(s)nā-"; "bog"
"*gronnā-"; "bog"
"*gronsnā-"; "bog"
"*groudos-"; "chin, cheek"
"*growjo-"; "grit"
"*gruggo-"; "wrinkle"
"*grundo-  / grondo-"; "ridge in a field"
"*grundo-"; "ridge in a field"
"grondo-"; "ridge in a field"
"*grundo- "; "ridge in a field"
"grondo-"; "ridge in a field"
"*grutu-"; "curds"
"*grVu(s)man-"; "darkness"
"*grVuman-"; "darkness"
"*grVusman-"; "darkness"
"*grǎgni-"; "disgust"
"*gublon-"; "shoulder"
"*gulban-"; "thorn"
"*gulbi(ā)-"; "point"
"*gulbi-"; "point"
"*gulbiā-"; "point"
"*gurdon-īko-"; "rough"
"*gus-"; "choose"
"*gust-(e)je/o-"; "choose"
"*gust-je/o-"; "choose"
"*gust-eje/o-"; "choose"
"*gustu-"; "danger, illness"
"*gustu-"; "force"
"*gʷan-e/o-"; "wound"
"*gʷani-"; "wound"
"*gʷano-"; "weak"
"*gʷed-je/o-"; "ask"
"*gʷer-(e)je/o-"; "warm"
"*gʷer-je/o-"; "warm"
"*gʷer-eje/o-"; "warm"
"*gʷjā-"; "tendon, nerve"
"*gʷon-eje/o-"; "wound, kill"
"*gʷormo-"; "warm"
"*gworo-"; "civilised"
"*gʷrātu-"; "love"
"*gʷritu-"; "heat"
"*gʷutu-"; "voice"
"*ī"; "deictic particle"
"*i-de"; "particle"
"*ijuluko- // *eluko-"; "victory cry"
"*ijuluko-"; "victory cry"
"*eluko-"; "victory cry"
"*ijuluko-"; "victory cry"
"*eluko-"; "victory cry"
"*īljo-"; "swell"
"*-ī-mā-"; "(verbal noun ending)"
"*ind-"; "ignite"
"*indo-"; "end"
"*ioudo-walo-"; "battle-leader"
"*isarno-"; "iron"
"*Isaro-"; "personal name"
"*iskā-"; "water"
"*iso-"; "needle"
"*i-tā-(je/o-)"; "go"
"*i-tā-"; "go"
"*i-tā-je/o-"; "go"
"*itaro-"; "ferry"
"*iwo-"; "yew"
"*iφāno-"; "right"
"*ja"; "thus"
"*jagi-"; "ice"
"*jakkito-"; "health"
"*jakko-"; "healthy"
"*jalo-"; "clearing"
"*jantu-"; "zeal"
"*jaro-"; "chicken"
"*jātu-"; "ford"
"*jaxtī-"; "language"
"*jei"; "pronoun"
"*jem-e/o-"; "roof"
"*jemno-"; "twin"
"*jestā-"; "foam"
"*jes-t-īn-o-"; "bright"
"*jeu(j)os-"; "younger"
"*jeuos-"; "younger"
"*jeujos-"; "younger"
"*jewā-"; "grain"
"*jīkkā-"; "healing"
"*joini-"; "rush"
"*joino-"; "fasting"
"*joudV-"; "fight"
"*jowanko-"; "young"
"*jowantūt-"; "youth"
"*jugo-, *jugā-"; "yoke"
"*jugo-"; "yoke"
"*jugā-"; "yoke"
"*jugo-"; "yoke"
"*jugā-"; "yoke"
"*jurko- / *jorko-"; "deer"
"*jurko-"; "deer"
"*jorko-"; "deer"
"*jurko-"; "deer"
"*jorko-"; "deer"
"*justjo-"; "just"
"*juto-"; "broth"
"*juw-amo-"; "youngest"
"*k(ʷ)erk(ʷ)ā-"; "chicken"
"*kerkā-"; "chicken"
"*kʷerkā-"; "chicken"
"*kerkʷā-"; "chicken"
"*kʷerkʷā-"; "chicken"
"*kā(k)n-je/o-"; "defame"
"*kān-je/o-"; "defame"
"*kākn-je/o-"; "defame"
"*ka(n)kstikā-"; "mare"
"*kakstikā-"; "mare"
"*kankstikā-"; "mare"
"*ka/inteklV-"; "blanket-like garment"
"*kabagli-"; "hold"
"*kaballo-"; "horse"
"*kād(j)o-"; "sacred"
"*kādo-"; "sacred"
"*kādjo-"; "sacred"
"*kād-at-īko-"; "angry"
"*kādo(s)-"; "anger"
"*kādo-"; "anger"
"*kādos-"; "anger"
"*kadro-"; "decorated"
"*kagi-"; "fence"
"*kagVlo-"; "dung"
"*kaiko-"; "one-eyed"
"*kailā-"; "(good) omen"
"*kailjāko-"; "augur"
"*kailomanjā-"; "good news"
"*kaini-"; "beautiful"
"*kairā-"; "berry"
"*kaito-"; "forest"
"*kajo-"; "house"
"*kakkā-"; "excrement"
"*kakk-āje/o-"; "defecate"
"*kakljo-"; "servant"
"*kakʷkʷjā-"; "mattock"
"*kalamon-"; "stalk"
"*kaldit-"; "wood"
"*kaleto-"; "hard"
"*kalgā-"; "penis"
"*kaljāko-"; "cock"
"*kaljāko-geidā-"; "gander"
"*kaljo-"; "spot"
"*kall-es(t)ro-"; "flint"
