"gla","eng","see-also","gla-keywords","eng-keywords","gla-metaphone","eng-metaphone"
"ànart","pride:","","anart, ànart","pride","ANRT","PRT"
"anasta","stormy; <i>*an-fadh-asta</i>; See ++anfadh, storm.","","anasta","an-fadh-asta, anfadh, see, storm, stormi","ANST","ANFT, ANNFTST, S, STRM"
"ancachd","adversity (Hend.):","","ancachd","advers, hend","ANKKT","ATFRS, HNT"
"an dràsta","now; for <i>an-trâth-sa</i>, ""the time here"", q.v.","","drasta, dràsta","an-trâth-sa, for, here, now, qv, the, time","TRST","0, ANNTR00, ANNTRTT, FR, HR, KF, N, NF, T, TM"
"++anfadh","storm; proper Gaelic is onfhadh, q.v.","","anfadh","gaelic, onfhadh, proper, qv, storm","ANFT","ANFT, KF, KLK, PRPR, STRM"
"anfhann","weak, Irish <i>anbhfann</i>, Middle Irish <i>anbfann</i>, <i>anband</i>; <i>an+fann</i>, ""excessive faint"". See fann.","","anfhann","anband, anbfann, anbhfann, anfann, excess, faint, fann, irish, middl, see, weak","ANFN","AK, AKSS, ANFN, ANPFN, ANPNT, ARX, FK, FN, FNT, MTL, S"
"anlamh, annlamh","misfortune; an-(not)+ lamh; See ullamh for lamh.","","anlamh, annlamh","an-not, for, lamh, misfortun, see, ullamh","ANLM","ALM, ANNNT, FR, LM, MSFRTN, S"
"ann","there, Irish, Old Irish <i>and</i>, <i>*anda</i> (Stokes); Cyprian Gr @G<i>a@'/nda</i> (= @G<i>a@'/utc</i>, this, she); Lithuanian <i>àndai</i>, newly, <i>àns</i>, <i>anà</i>, ille, illa; Church Slavonic <i>onu@u</i>, that; Sanskrit <i>ana</i>, this (he).","","ann","a'nda, a'utc, ana, anda, anà, church, cyprian, gr, he, ill, illa, irish, lithuanian, newli, old, onuu, sanskrit, she, slavon, stoke, that, there, this, àndai, àns","AN","0R, 0S, 0T, A, AANT, AATK, AL, ALT, AN, ANS, ANT, ARX, H, KR, L0NN, LTNN, NL, SLFN, SNSKRT, SPRN, STK, TR, TS, TT, X, XLFN, XRK, XRX"
"ann, ann an","in, Irish ann, Early Irish <i>ind</i>, Old Irish <i>ind-ium</i> (in me), Celtic <i>endo</i> (Stokes); Latin <i>endo</i>, <i>indu</i>, into, in; Greek @G<i>c@'/ndon</i>, within, @G<i>c@'/ndoqen</i>; English <i>indo</i>. The roots are <i>en</i> (see an), in, and do (see do), to. In <b>ann an</b>, the two prepositions ann and an are used. The form <b>anns</b> is used before the article and relative; the <i>-s</i> properly belongs to the article; <i>anns an</i>, in the, is for <i>ann san</i>.","","ann","-s, an, ann, are, articl, befor, belong, c'ndon, c'ndoqen, celtic, do, earli, en, endo, english, for, form, greek, in, ind, ind-ium, indo, indu, into, irish, latin, me, old, preposit, proper, relat, root, san, see, stoke, the, to, two, use, within","AN","0, A0N, ALT, AN, ANKLX, ANLX, ANT, ANTTM, AR, ARL, ARTKL, ARX, AS, FR, FRM, FTN, KKNTKN, KKNTN, KRK, LTN, M, PFR, PLNK, PRPR, PRPST, RLT, RT, S, SLTK, SN, STK, T"
"++annaid, annoid","a church, Middle Irish <i>annóit</i>, Old Irish <i>andoóit</i>, mother-church. Stokes refers it to Late Latin <i>antitas</i>, for <i>antiquitas</i>, ""ancient church"". In Scottish place-names it appears as <i>Annet</i>, <i>Clach na h-Annaid</i>, etc. Cf. <i>annone</i>, church (O'Dav.), from Hebrew.","","annaid, annoid","ancient, andoóit, annet, annon, annóit, antiquita, antita, appear, as, cf, church, clach, etc, for, from, h-annaid, hebrew, in, irish, it, late, latin, middl, mother-church, na, o'dav, old, place-nam, refer, scottish, stoke, to","ANT","AATF, ALT, AN, ANN, ANSNT, ANT, ANTKT, ANTT, ANXNT, APR, ARX, AS, AT, ATK, FR, FRM, HPR, HPRF, KF, KLK, LT, LTN, M0RRXRX, MTL, MTRRKRK, N, NT, PLSSM, RFR, SKTX, STK, T, XRK, XRX"
"annaladh","era, calendar, Irish <i>analach</i>, chronicle; from Latin <i>annalia</i>.","","annaladh","analach, annalia, calendar, chronicl, era, from, irish, latin","ANLT","ANL, ANLK, AR, ARX, FRM, KLNTR, KRNKL, LTN"
"annamh","rare, Middle Irish <i>annam</i>, Early Irish <i>andam</i>; <i>*an-dam-</i>, ""non-tame""; root <i>dam</i>, home, home, etc.; English <i>domestic</i>, <i>tame</i>. Hence <b>annas</b>, rarity.","","annamh","an-dam-, andam, anna, annam, dam, domest, earli, english, etc, henc, home, irish, middl, non-tam, rare, rariti, root, tame","ANM","AN, ANKLX, ANLX, ANM, ANNTMM, ANTM, ARL, ARX, ATK, HM, HNK, MTL, NNNTM, RR, RRT, RT, TM, TMST"
"annlamh","vexation, etc.; See anlamh.","","annlamh","anlamh, etc, see, vexat","ANLM","ANLM, ATK, FKST, S"
"annlan","condiment, Early Irish <i>annland</i>, Welsh <i>enllyn</i>; possibly <i>an+leann</i>.","","annlan","anleann, annland, condiment, earli, enllyn, irish, possibl, welsh","ANLN","ALX, ANLN, ANLNT, ARL, ARX, FLX, KNTMNT, PSPL"
"annrach, ànrach","wanderer, stranger; either from <i>*ann-reth-ach</i>, root <i>reth</i>, run (see ruith, faondradh), or from <i>*an-rath-ach</i>, ""unfortunate"", root rath, luck, q.v.","","annrach, anrach, ànrach","an-rath-ach, ann-reth-ach, either, faondradh, from, luck, or, qv, rath, reth, root, ruith, run, see, stranger, unfortun, wander","ANRK","A0R, ANFRTN, ANN00K, ANNR00K, ANNRTTK, ANNTTK, ANTR, AR, ATR, FNTR, FNTRT, FRM, KF, LK, R0, RN, RT, S, STRNJR, STRNKR"
"annrath","distress, Irish <i>anrath</i>; <i>an-rath</i>; See rath, luck. The Early Irish <i>andró</i> appears to be of a different origin.","","annrath","an-rath, andró, anrath, appear, be, differ, distress, earli, irish, luck, of, origin, rath, see, to","ANR0, ANRT","AF, ANNR0, ANNRT, ANR0, ANRT, ANTR, APR, ARJN, ARKN, ARL, ARX, LK, P, R0, RT, S, T, TFR, TSTRS"
"annsa","dearer, better liked, so Irish, Middle Irish <i>andsa</i>, preferable:","","annsa","andsa, better, dearer, irish, like, middl, prefer, so","ANS","ANTS, ARX, LK, MTL, PRFR, PTR, S, TRR"
"ao-","privative prefix; for eu-, this is for an- (not), before <i>c</i> and <i>t</i>. See an-.","","ao, ao-","an-, befor, eu-, for, not, prefix, privat, see, this","A","0S, A, ANN, FR, NT, PFR, PRFKS, PRFT, S, TS"
"aobhach","joyous; See aoibhinn.","","aobhach","aoibhinn, joyous, see","APK","APN, AS, JS, S"
"aobhar","cause, Irish <i>adhbhar</i>, Old Irish <i>adbar</i>, <i>*ad-bero-n</i>; root <i>ber</i>, Indo-European <i>bher</i>, whence Latin <i>fero</i>, English <i>bear</i>, etc.","","aobhar","ad-bero-n, adbar, adhbhar, bear, ber, bher, caus, english, etc, fero, indo-european, irish, latin, old, root, whenc","APR","ALT, ANK, ANKLX, ANLX, ANTRPN, ARX, ATK, ATPR, ATTPRN, FR, KS, LTN, PR, RT"
"aobharrach","a young person or beast of good promise, hobble-dehoy; from aobhar, material.","","aobharrach","aobhar, beast, from, good, hobble-dehoy, materi, of, or, person, promis, young","APRK","AF, ANK, APR, AR, FRM, HPLTH, KT, MTR, PRMS, PRSN, PST"
"aobrann","ankle, Old Irish <i>odbrann</i>, Welsh <i>uffarn</i>: <i>*od-bronn</i>, <i>*ud-brunn-</i>, ""out-bulge""; <i>ud-</i>=English <i>out</i>, and <i>brunn-</i>, See brù, belly. <!-- page 19 --> Stokes (<i>Academy</i>, June, 1892) makes <i>od-</i> to be for <i>pod</i>, foot, Gr @G<i>poús</i>, @G<i>pod-ós</i>, English <i>foot</i>, etc.","","aobrann","1892, 19, academi, ankl, be, belli, brunn-, brù, english, etc, foot, for, gr, irish, june, make, od-, od-bronn, odbrann, old, out, out-bulg, page, pod, pod-ó, poú, see, stoke, to, ud-, ud-brunn-, uffarn, welsh","APRN","AFRN, AKTM, ALT, ALX, AN, ANKL, ANKLX, ANLX, ARX, AT, ATK, ATPRN, ATT, ATTPLK, ATTPRN, ATTPRNN, FLX, FR, FT, JN, KR, MK, P, PJ, PK, PL, PR, PRNN, PT, PTT, S, STK, T"
"aodach","clothes, Irish <i>eudach</i>, Old Irish <i>étach</i>, <i>*ant-ac-os</i>; root <i>pan</i>, as in anart, q.v. Cf. Lithuanian <i>pinti</i>, plait, twine, Church Slavonic <i>pe@?ti</i>, wind, Latin <i>pannus</i>, etc. Strachan cfs. Alb. <i>ent</i>, <i>int</i>, weave, Greek @G<i>a@'/ttomai</i>, weave.","","aodach","a'ttomai, alb, anart, ant-ac-o, as, cf, cfs, church, cloth, ent, etc, eudach, greek, in, int, irish, latin, lithuanian, old, pan, pannus, peti, pinti, plait, qv, root, slavon, strachan, twine, weav, wind, étach","ATK","AATM, AF, ALP, ALT, AN, ANRT, ANT, ANTTKK, ARX, AS, ATK, FF, FNT, KF, KFS, KL0, KLT, KRK, L0NN, LTN, LTNN, PLT, PN, PNS, PNT, PT, RT, SLFN, STRKN, TN, XLFN, XRK, XRX"
"aodann","face, Irish <i>éadan</i>, Old Irish <i>étan</i>, Celtic <i>antano-</i> (Stokes); Latin <i>ante</i>; Greek @G<i>a@'vtí</i>, against; English <i>and</i>; Sanskrit <i>ánti</i>, opposite.","","aodann","a'vtí, against, ant, antano-, celtic, english, face, greek, irish, latin, old, opposit, sanskrit, stoke, ánti, éadan, étan","ATN","AAFT, AKNST, ALT, ANKLX, ANLX, ANT, ANTN, APST, ARX, ATN, FS, KRK, LTN, SLTK, SNSKRT, STK"
"aodraman","bladder, Irish <i>éadromán</i>; See aotrom.","","aodraman","aotrom, bladder, irish, see, éadromán","ATRMN","ARX, ATRM, ATRMN, PLTR, S"
"aog","death; See eug.","","aog","death, eug, see","AK","AK, S, T0, TT"
"aogas, aogasg","face, appearance, Middle Irish <i>écosg</i> (O'Cl), Old Irish <i>écosc</i>, habitus, expression, <i>*in-cosc</i>; See caisg, check. Cf. Old Irish <i>in-cho-sig</i>, significat.","","aoga, aogasg","appear, caisg, cf, check, express, face, habitus, in-cho-sig, in-cosc, irish, middl, o'cl, old, see, significat, écosc, écosg","AK, AKSK","AAKL, AKSK, AKSPRS, ALT, ANNKSK, ANNXSK, APR, ARX, FS, HPTS, KF, KSK, MTL, S, SKNFKT, SNFKT, XK"
"aoghaire","shepherd, so Irish, Middle Irish <i>aegaire</i>, Old Irish <i>augaire</i>, <i>*ovi-gar-</i>; for <i>ovi-</i>, sheep, see òisg. The <i>-gar-</i> is allied to Greek @G<i>a@'geírw</i>, @G<i>a@'gorá</i>, meeting place, market.","","aoghair","-gar-, a'geírw, a'gorá, aegair, alli, augair, for, greek, irish, market, meet, middl, old, ovi-, ovi-gar-, place, see, sheep, shepherd, so, to, òisg","AR","AAJR, AAKR, AF, AFKRR, AKR, AL, ALT, ARX, ASK, FR, KRK, KRR, MRKT, MT, MTL, PLS, S, T, XFRT, XP"
"aoibh","civil look, cheerful face, Irish <i>aoibh</i>, pleasant, humour, Early Irish <i>áeb</i>, Old Irish <i>óiph</i>, beauty, appearance, <i>*aibâ</i> (Thurneysen), mien, look, Prov. French <i>aib</i>, good manners. Ascoli refers it to the root of éibheall (q.v.), a live coal, the underlying idea being ""shining, sheen"". This would agree as to the original force with taitinn, please, <i>taitneach</i>, pleasant.","","aoibh","agre, aib, aibâ, aoibh, appear, as, ascoli, be, beauti, cheer, civil, coal, earli, face, forc, french, good, humour, idea, irish, it, live, look, manner, mien, of, old, origin, pleas, pleasant, prov, qv, refer, root, sheen, shine, taitinn, taitneach, this, thurneysen, to, under, with, would, áeb, éibheal, óiph","AP","0RNSN, 0S, A0, AF, AKR, ALT, ANTR, AP, APL, APR, ARJN, ARKN, ARL, ARX, AS, ASKL, AT, FLT, FRK, FRNK, FRNX, FS, FT, HMR, KF, KL, KT, LF, LK, MN, MNR, P, PLS, PLSNT, PRF, PT, RFR, RT, SFL, T, TRNSN, TS, TTN, TTNK, TTNX, XN, XR"
"aoibhinn","pleasant, joyful, so Irish, Early Irish <i>áibind</i>, <i>óibind</i>. See aoibh for root.","","aoibhinn","aoibh, earli, for, irish, joy, pleasant, root, see, so, áibind, óibind","APN","A, AP, APNT, ARL, ARX, FR, J, PLSNT, RT, S"
"aoideag","hair-lace, fillet, from root of aodach.","","aoideag","aodach, fillet, from, hair-lac, of, root","ATK","AF, ATK, FLT, FRM, HRRLK, RT"
"aoigh","guest, Irish <i>aoidhe</i>, pl. <i>aoidheadha</i>, Old Irish <i>óegi</i>, pl. <i>óegid</i>, <i>*(p)oig-it</i>; cf. the Teutonic <i>*faig-iþ-</i>, whence Norse <i>feigr</i>, doomed to die, Anglo-Saxon <i>fáege</i>, doomed, English <i>fey</i> (Schräder). Stokes gives the Celtic as <i>(p)oik-it</i>, <i>poik</i>, whence English <i>foe</i> (cf. Latin <i>hostis</i>, <i>hospes</i>); but the Gaelic <i>gh</i> of <i>aoigh</i> is against this otherwise satisfactory derivation. As against Schräder's etymology, might be put a reference to the form found in Greek @G<i>oi@'/homai</i>, go, Lithuanian <i>eigà</i>, going, gurther root <i>ei</i>, go; the idea being ""journey-taker"". Commonly misspelt <b>aoidh</b>.","","aoigh","against, anglo-saxon, aoidh, aoidheadha, aoigh, as, be, celtic, cf, common, deriv, die, doom, ei, eigà, english, etymolog, faig-iþ-, feigr, fey, foe, form, found, fáege, gaelic, gh, give, go, greek, guest, gurther, hosp, hosti, idea, in, irish, journey-tak, latin, lithuanian, might, misspelt, nors, of, oi'homai, old, otherwis, pl, poig-it, poik, poik-it, put, refer, root, satisfactori, schräder, stoke, teuton, this, to, whenc, óegi, óegid","A","0S, A, A0RS, AF, AJ, AJT, AK, AKNST, AKT, ALT, AM, AN, ANK, ANKLSKSN, ANKLX, ANLX, ARNTK, ARX, AS, AT, ATMLK, ATRS, ATT, F, FJ, FK, FKK00, FKKTT, FKR, FNT, FRM, HSP, HST, JF, JRNTK, K, KF, KLK, KMN, KR0R, KRK, KRTR, KST, L0NN, LTN, LTNN, MSPLT, MT, NRS, P, PK, PKKT, PL, PT, RFR, RT, SLTK, SRTR, STK, STSFKTR, T, TM, TRF, TS, TTN, XRTR"
"aoigh","pleasant countenance, Irish aoibh.","","aoigh","aoibh, counten, irish, pleasant","A","AP, ARX, KNTN, PLSNT"
"aoine","fast, Di-haoine, Friday, Irish <i>aoine</i>, Friday, Old Irish <i>oine</i>, fast, Breton <i>iun</i>; from Latin <i>jejunium</i>, a fast, fast-day, English <i>jejune</i>. Stokes suggests Greek @G<i>peináw</i>, hunger, as cognate, making it native: <i>*poin-io-</i>. Unlikely.","","aoin","aoin, as, breton, cognat, di-haoin, english, fast, fast-day, friday, from, greek, hunger, irish, it, iun, jejun, jejunium, latin, make, nativ, oin, old, peináw, poin-io-, stoke, suggest, unlik","AN","AJN, AJNM, ALT, AN, ANKLX, ANLK, ANLX, ARX, AS, AT, FRM, FRT, FST, FSTTT, HNJR, HNKR, JJN, JJNM, KKNT, KNT, KRK, LTN, MK, NTF, PN, PNF, PNN, PRTN, SKST, STK, TN"
"aoineadh","a steep brae with rocks, Manx <i>eaynee</i>, steep place:","","aoineadh","brae, eayne, manx, place, rock, steep, with","ANT","A0, AN, FT, MNKS, PLS, PR, RK, STP"
"aoir","a satire, Irish <i>aor</i>, Early Irish <i>áer</i>, Old Irish <i>áir</i>. <i>*aigrâ</i>, @G<i>a@'ishos</i>, Gothic <i>aiviski</i>: <i>aigh</i> (St.). Prellwitz gives Greek and Gothic and root. Ascoli refers this word and Old Irish <i>tatháir</i>, reprehensio, to tàir, q.v.","","aoir","a'isho, aigh, aigrâ, aiviski, aor, ascoli, earli, give, gothic, greek, irish, old, prellwitz, qv, refer, reprehensio, root, satir, st, tatháir, this, to, tàir, word, áer, áir","AR","0S, A, AAX, AFSK, AKR, ALT, AR, ARL, ART, ARX, ASKL, FRT, JF, K0K, KF, KRK, KTK, PRLFX, PRLTS, RFR, RPRHNS, RPRHNX, RT, ST, STR, T, T0R, TR, TS, TTR"
"aoir","sheet or bolt-rope of a sail: <!-- page 20 -->","","aoir","20, bolt-rop, of, or, page, sail, sheet","AR","AF, AR, PJ, PK, PLTTRP, SL, XT"
"aoirean, airean","ploughman, herdsman, Irish <i>oireamh</i>, g. <i>oireamhan</i>, ploughman, the mythic <i>Eremon</i>, <i>Airem(on)</i>, <i>*arjamon-</i>, Sanskrit <i>Arjaman</i>, further <i>Aryan</i>(?); root àr, plough.","","airean, aoirean","airemon, arjaman, arjamon-, aryan, eremon, further, herdsman, irish, mythic, oireamh, oireamhan, plough, ploughman, root, sanskrit, àr","ARN","AR, ARJMN, ARJMNN, ARM, ARMN, ARN, ARX, FR0R, FRTR, HRTSMN, M0K, MTK, PLF, PLFMN, RT, SNSKRT"
"aoirneagan","see aonagail.","","aoirneagan","aonagail, see","ARNKN","ANKL, S"
"aois","age, Irish <i>aois</i>, Old Irish <i>áes</i>, <i>áis</i>, <i>óis</i>, Welsh <i>oes</i>, <i>*aivestu-</i>; Latin <i>@oevum</i>, <i>@oetas</i>, English <i>age</i>; Greek @G<i>ai@'és</i>, @G<i>ai@'eí</i>, always; English <i>aye</i>. From <i>*aie-tu</i>, Latin <i>oitor</i>, <i>utor</i>, @G<i>dí-aita</i> (Th. St. Arch. 276).","","aoi","276, age, ai'eí, ai'é, aie-tu, aivestu-, alway, aoi, arch, aye, dí-aita, english, from, greek, irish, latin, oe, oeta, oevum, oitor, old, st, th, utor, welsh, áes, áis, óis","A","0, A, AFM, AFST, AJ, AK, AL, ALT, ALX, ANKLX, ANLX, ARK, ARX, AS, AT, ATR, FLX, FRM, KRK, LTN, ST, T, TT"
"aol","lime, Irish <i>aol</i>, Old Irish <i>áel</i>: <i>*aidlo-</i>, from <i>aidh</i>, light, fire, Greek @G<i>ai@'qw</i>, gleam (St.). See Mackay.","","aol","ai'qw, aidh, aidlo-, aol, fire, from, gleam, greek, irish, light, lime, mackay, old, see, st, áel","AL","AK, AL, ALT, ARX, AT, ATL, FR, FRM, KLM, KRK, LM, LT, MK, S, ST"
"aolach","dung, Irish <i>aoileach</i>, Old Irish <i>ailedu</i>, etercora, Welsh <i>add-ail</i>, eluvies. Ascoli compares Old Irish <i>áil</i>, probrum, but this word is probably cognate with Gothic <i>agls</i>, <i>aglus</i>, difficult, shameful, and may not be allied to <i>aolach</i>.","","aolach","add-ail, agl, aglus, ailedu, alli, aoileach, aolach, ascoli, be, cognat, compar, difficult, dung, eluvi, etercora, gothic, irish, may, not, old, probabl, probrum, shame, this, to, welsh, with, word, áil","ALK","0S, A0, AKL, AKLS, AL, ALF, ALK, ALT, ALX, ART, ARX, ASKL, ATRKR, ATTL, FLX, FRT, FT, K0K, KKNT, KMPR, KNT, KTK, M, NT, P, PRPPL, PRPRM, T, TFKLT, TNK, TS, XM"
"aolais","indolence:","","aolai","indol","AL","ANTL"
"aolmann","ointment: founded on the English <i>ointment</i>. Cf. iarmailt, <i>armailt</i>.","","aolmann","armailt, cf, english, found, iarmailt, ointment, on","ALMN","AN, ANKLX, ANLX, ANTMNT, ARMLT, FNT, KF"
"aom","incline, Irish <i>aomadh</i>, inclining, attracting:","","aom","aomadh, attract, inclin, irish","AM","AMT, ANKLN, ARX, ATRKT"
"aon","one, Irish <i>aon</i>, Old Irish <i>óin</i>, <i>óen</i>, Welsh, Cornish, Breton <i>un</i>; Latin <i>unus</i> (=<i>oinos</i>); Gothic <i>ains</i>, English <i>one</i>.","","aon","ain, aon, breton, cornish, english, gothic, irish, latin, oino, old, one, un, unus, welsh, óen, óin","AN","ALT, ALX, AN, ANKLX, ANLX, ANS, ARX, FLX, K0K, KRNX, KTK, LTN, PRTN"
"aonach","moor, market place, Irish <i>aonach</i>, fair, assembly, Old Irish <i>óinach</i>, <i>óenach</i>, fair, <i>*oin-acos</i>, from aon, one, the idea being ""uniting, re-union"". Some have compared the Latin <i>agonium</i>, fair, but it would scarcely suit the Gaelic phonetics.","","aonach","agonium, aon, aonach, assembl, be, compar, fair, from, gaelic, have, idea, irish, it, latin, market, moor, oin-aco, old, one, phonet, place, re-union, scarc, some, suit, unit, would, óenach, óinach","ANK","AKNM, ALT, AN, ANK, ANNK, ANT, ARX, ASMPL, AT, FLT, FNT, FR, FRM, HF, KLK, KMPR, LTN, MR, MRKT, P, PLS, RNN, SKRK, SM, ST"
"aonach","panting; See àinich.","","aonach","pant, see, àinich","ANK","ANK, ANX, PNT, S"
"aonadh","ascent:","","aonadh","ascent","ANT","ASNT"
"aonagail, aonagairt, aoineagan ,","wallowing (H.S.D.); See uainneart; uan=foam.","","aoineagan, aonagail, aonagairt","hsd, see, uainneart, uanfoam, wallow","ANKL, ANKN, ANKRT","AL, ANFM, ANRT, FLF, S, ST"
"aonais","want; See iùnais.","","aonai","iùnai, see, want","AN","AN, ANT, FNT, S"
"aorabh","bodily or mental constitution:","","aorabh","bodili, constitut, mental, or","ARP","AR, KNSTTT, MNTL, PTL"
"aoradh","worship, Irish <i>adhradh</i>, Old Irish <i>adrad</i>; from Latin <i>adoratio</i>, English <i>adoration</i>.","","aoradh","adhradh, ador, adoratio, adrad, english, from, irish, latin, old, worship","ART","ALT, ANKLX, ANLX, ARX, ARXP, ATR, ATRT, FRM, FRXP, LTN"
"aotrom","light, Irish <i>éadtrom</i>, Old Irish <i>étromm</i>; <i>*an+trom</i>, ""non-heavy"". See trom.","","aotrom","antrom, irish, light, non-heavi, old, see, trom, éadtrom, étromm","ATRM","ALT, ANTRM, ARX, ATRM, LT, NNNF, S, TRM"
"ap","ape, Irish <i>ap</i>, Welsh ab; from English <i>ape</i>.","","ap","ab, ap, ape, english, from, irish, welsh","AP","ALX, ANKLX, ANLX, AP, ARX, FLX, FRM"
"aparan","apron, gunwale patch (N.H.): from the English","","aparan","apron, english, from, gunwal, nh, patch","APRN","ANKLX, ANLX, APRN, FRM, KNL, N, PX"
"aparr","expert; from Scottish <i>apert</i>, from Old French <i>aparté</i>, military skill, from Latin <i>aperio</i>, open, English <i>aperient</i>, <i>expert</i>, etc.","","aparr","aparté, aperi, aperio, apert, english, etc, expert, french, from, latin, militari, old, open, scottish, skill","APR","AKSPRT, ALT, ANKLX, ANLX, APN, APR, APRT, ATK, FRM, FRNK, FRNX, LTN, MLTR, SKL, SKTX"
"aparsaig","knapsack; from English <i>haversack</i>.","","aparsaig","english, from, haversack, knapsack","APRSK","ANKLX, ANLX, FRM, HFRSK, NPSK"
"ar, ar n-","our, so Irish and Old Irish <i>*(s)aron</i>; this form may have arisen from unaccented <i>n@.s-aron</i> (Jub.), like Gothic <i>uns-ar</i> (us of English and ar), German <i>unser</i>, English <i>our</i> (Thurneysen). Stokes refers it to a Celtic <i>(n)ostron</i>, allied to Latin <i>nostrum</i>. See further at bhur. <!-- page 21 -->","","ar, n-","21, alli, ar, arisen, at, bhur, celtic, english, form, from, further, german, gothic, have, irish, it, jub, latin, like, may, nostron, nostrum, ns-aron, of, old, our, page, refer, saron, see, so, stoke, this, thurneysen, to, unacc, uns-ar, unser, us","AR, NN","0RNSN, 0S, AF, AL, ALT, ANK, ANKLX, ANLX, ANSR, ANSSR, AP, AR, ARSN, ARX, AS, AT, FR0R, FRM, FRTR, HF, JP, JRMN, K0K, KRMN, KTK, LK, LTN, M, NSSRN, NSTRM, NSTRN, PJ, PK, PR, RFR, S, SLTK, SRN, STK, T, TRNSN, TS"
"ar","seems; <b>ar leam</b>, methinks, Irish Middle Irish dar, Early Irish <i>indar</i>, <i>atar</i>, with <i>la</i>, Old Irish <i>inda</i>, <i>ata</i>, <i>da</i>; where ta, <i>tar</i> is the verb tha (<i>thathar</i>), is, with prep. or rel. <i>in</i> before it. <i>Tha leam-sa</i> (Mrs Grant). See na, than.","","ar","ar, ata, atar, befor, da, dar, earli, grant, in, inda, indar, irish, is, it, la, leam, leam-sa, methink, middl, mrs, na, old, or, prep, rel, see, seem, ta, tar, tha, than, thathar, verb, where, with","AR","0, 00R, 0N, A0, ALT, AN, ANT, ANTR, AR, ARL, ARX, AS, AT, ATR, FRP, FT, KRNT, L, LM, LMMS, M0NK, MRS, MTL, MTNK, N, PFR, PRP, RL, S, SM, T, TN, TR, TTR"
"àr","plough, Early Irish ar, Welsh ar, ploughed land; Latin <i>aro</i>; Lithuanian <i>ariù</i> Gothic <i>arjan</i>, English ear, plough.","","ar, àr","ar, ariù, arjan, aro, ear, earli, english, gothic, irish, land, latin, lithuanian, plough, welsh","AR","ALX, ANKLX, ANLX, AR, ARJN, ARL, ARX, FLX, K0K, KTK, L0NN, LNT, LTN, LTNN, PLF"
"àr","battle, slaughter, Irish and Old Irish <i>ár</i>, Welsh <i>aer</i>, <i>*agro-</i>; root ag, drive; Greek @G<i>a@'/gra</i>, chase; See àgh.","","ar, àr","a'gra, aer, ag, agro-, battl, chase, drive, greek, irish, old, root, see, slaughter, welsh, àgh, ár","AR","AA, AAKR, AK, AKR, ALT, ALX, AR, ARX, FLX, KRK, PTL, RT, S, SLFTR, TRF, XLFTR, XS"
"àra","kidney, Irish <i>ára(nn)</i>, Old Irish <i>áru</i>, g. <i>áran</i>, Welsh <i>aren</i>, <i>*n@.fron-</i>; Latin <i>nefro@-nes</i>; Greek @G<i>nefrós</i>, German <i>nieren</i>. Stokes refers <i>ára</i> to <i>ad-rên</i>, the <i>ren</i> being the same as Latin <i>ren</i>.","","ara, àra","ad-rên, aren, as, be, german, greek, irish, kidney, latin, nefro-n, nefró, nfron-, nieren, old, refer, ren, same, stoke, to, welsh, ára, áran, árann, áru","AR","ALT, ALX, AR, ARN, ARX, AS, ATTRN, FLX, JRMN, KRK, KRMN, KTN, LTN, NFR, NFRN, NFRNN, NRN, P, RFR, RN, SM, STK, T"
"arabhaig","strife; cf Old Irish <i>irbág</i>, <i>arbag</i>, <i>*air-ba@-g</i>, Norse <i>bágr</i>, strife.","","arabhaig","air-ba-g, arbag, bágr, cf, irbág, irish, nors, old, strife","ARPK","ALT, ARPK, ARRPK, ARX, KF, NRS, PKR, STRF"
"àrach","rearing; See àiridh, shealing. It is possible to refer this word to <i>*ad-reg-</i>, <i>reg</i> being the root which appears in éirich.","","arach, àrach","ad-reg-, appear, be, in, it, possibl, rear, refer, reg, root, see, sheal, this, to, which, word, àiridh, éirich","ARK","0S, AK, AN, APR, ARK, ART, ARX, AT, ATTRKK, AX, FRT, P, PSPL, RFR, RK, RR, RT, S, T, TS, XL"
"àrachas","insurance, so Irish, Early Irish <i>árach</i>, bail, contract, <i>*ad-rig-</i>, root <i>rig</i>, bind, which See in cuibhreach.","","aracha, àracha","ad-rig-, bail, bind, contract, cuibhreach, earli, in, insur, irish, rig, root, see, so, which, árach","ARK","AK, AN, ANSR, ARK, ARL, ARX, ATTRKK, AX, KNTRKT, KPRK, KPRX, PL, PNT, RK, RT, S"
"àradh","a ladder, Irish <i>aradh</i>, Early Irish <i>árad</i>:","","aradh, àradh","aradh, earli, irish, ladder, árad","ART","ARL, ART, ARX, LTR"
"araiceil","valiant, important, Irish <i>árach</i>, strength, <i>árachdach</i>, puissant, <i>*ad-reg-</i>, root <i>reg</i>, rule, direct.","","araiceil","ad-reg-, direct, import, irish, puissant, reg, root, rule, strength, valiant, árach, árachdach","ARSL","AMPRT, ARK, ARKTK, ARX, ATTRKK, FLNT, PSNT, RK, RL, RT, STRNK0, STRNKT, TRKT"
